"idCarbono";"idCampanha";"idSitio";"dataMedida";"horaMedida";"DC";"DOC";"POC";"TOC";"DIC";"TC"
"1";"203";"2007";"2007-03-27";"16:50:00";\N;"1.5399999619";"0.5099999905";"2.0499999523";"6.6527199745";"8.7027196884"
"2";"205";"2007";"2007-07-24";"17:10:00";\N;"3.8900001049";"0.9599999785";"4.8499999046";"5.9400000572";"10.789999962"
"3";"201";"2017";"2006-11-20";"10:40:00";\N;"2.5599999428";"3.7400000095";"6.3000001907";"2.5599999428";"8.8599996567"
"4";"201";"2018";"2006-11-20";"14:50:00";\N;"3.6199998856";"24.11000061";"27.729999542";"1.6200000048";"29.350000381"
"5";"201";"2019";"2006-11-22";"10:32:00";\N;"5.3499999046";"6.9099998474";"12.260000229";"2.2400000095";"14.5"
"6";"205";"2019";"2007-07-24";"12:00:00";\N;"3.5199999809";"2.5999999046";"6.1199998856";"6.1999998093";"12.319999695"
"7";"201";"2020";"2006-11-22";"11:34:00";\N;"4.3000001907";"0.7699999809";"5.0700001717";"1.7200000286";"6.7899999619"
"8";"203";"2026";"2007-03-27";"14:00:00";\N;"1.6799999475";"1.3799999952";"3.0599999428";"4.6942601204";"7.7542600632"
"9";"205";"2026";"2007-07-23";"11:17:00";\N;"4.0900001526";"2.1700000763";"6.2600002289";"3.7200000286";"9.9799995422"
"10";"203";"2032";"2007-03-28";"16:40:00";\N;"3.3399999142";"0.9900000095";"4.3299999237";"4.6399998665";"8.970000267"
"11";"203";"2033";"2007-03-29";"08:50:00";\N;"0.6700000167";"0.7699999809";"1.4400000572";"6.5722498894";"8.0122499466"
"12";"203";"2039";"2007-03-26";"11:30:00";\N;"1.7200000286";"1.5299999714";"3.25";"4.6542100906";"7.9042100906"
"13";"205";"2049";"2007-07-23";"11:10:00";\N;"4.2699999809";"1.3799999952";"5.6500000954";"5.2600002289";"10.909999847"
"14";"205";"2050";"2007-07-25";"15:00:00";\N;"4.3899998665";"2.2000000477";"6.5900001526";"6.1300001144";"12.720000267"
"15";"205";"2051";"2007-07-24";"14:10:00";\N;"4.3699998856";"1.0900000334";"5.4600000381";"6.6900000572";"12.149999619"
"16";"808";"8063";"2004-07-17";"12:25:00";"29.600000381";"1.4400000572";"0.3899999857";\N;\N;\N
"17";"801";"8081";"2003-11-17";"11:25:00";"6.0300002098";"5.0300002098";"0.4199999869";\N;\N;\N
"18";"805";"8081";"2004-03-15";"15:05:00";"1.9900000095";"0.9499999881";"0.4499999881";\N;\N;\N
"19";"801";"8082";"2003-11-20";\N;"13.5";"8.9600000381";"1.5399999619";\N;\N;\N
"20";"805";"8082";"2004-03-16";"10:30:00";"4.7800002098";"0.6200000048";"2.4600000381";\N;\N;\N
"21";"808";"8082";"2004-07-14";"14:50:00";"11.159999847";"4.4499998093";"0.3899999857";\N;\N;\N
"22";"801";"8083";"2003-11-18";"16:46:00";"24.049999237";"12.239999771";"0.6200000048";\N;\N;\N
"23";"805";"8083";"2004-03-17";"16:55:00";"12.739999771";"10.609999657";"0.4699999988";\N;\N;\N
"24";"808";"8083";"2004-07-14";"18:25:00";"17.569999695";"6.4800000191";"0.3899999857";\N;\N;\N
"25";"801";"8084";"2003-11-17";"11:25:00";"23.129999161";"13.590000153";"9.9300003052";\N;\N;\N
"26";"805";"8084";"2004-03-17";"09:20:00";"6.5900001526";"1.0700000525";"0.3899999857";\N;\N;\N
"27";"801";"8085";"2003-11-20";"17:36:00";"17.700000763";"9.6899995804";"0.5099999905";\N;\N;\N
"28";"805";"8085";"2004-03-19";"12:10:00";"7.3299999237";"1.3099999428";"1.5399999619";\N;\N;\N
"29";"801";"8086";"2003-11-21";"09:33:00";"18.649999619";"13.819999695";"1.6299999952";\N;\N;\N
"30";"805";"8086";"2004-03-19";"14:50:00";"7.4200000763";"2.7100000381";"8.6400003433";\N;\N;\N
"31";"801";"8087";"2003-11-19";\N;"17.899999619";"12.640000343";"1.2699999809";\N;\N;\N
"32";"805";"8087";"2004-03-16";"15:00:00";"5.4499998093";"0.5600000024";"3.8299999237";\N;\N;\N
"33";"808";"8087";"2004-07-14";"12:56:00";"12.369999886";"3.2999999523";"0.3899999857";\N;\N;\N
"34";"808";"8088";"2004-07-16";"10:00:00";"17.979999542";"2.1600000858";"0.3899999857";\N;\N;\N
"35";"805";"8089";"2004-03-17";"11:35:00";"14.210000038";"2";"0.3899999857";\N;\N;\N
"36";"808";"8089";"2004-07-13";"13:40:00";"16.319999695";"4.9200000763";"0.3899999857";\N;\N;\N
"37";"805";"8090";"2004-03-17";"12:05:00";"1.9600000381";"0.4499999881";"0.3899999857";\N;\N;\N
"38";"805";"8091";"2004-03-17";"13:05:00";"13.770000458";"3.0899999142";"0.3899999857";\N;\N;\N
"39";"805";"8092";"2004-03-19";"09:20:00";"9.6099996567";"0.9599999785";"0.5699999928";\N;\N;\N
"40";"805";"8093";"2004-03-19";"10:45:00";"10.069999695";"0.6800000072";"0.4900000095";\N;\N;\N
"41";"805";"8094";"2004-03-19";"11:20:00";"10.649999619";"0.5099999905";"0.6700000167";\N;\N;\N
"42";"805";"8095";"2004-03-15";"17:00:00";"10.06000042";"0.4199999869";"0.4099999964";\N;\N;\N
"43";"808";"8096";"2004-07-13";"10:34:00";"13.279999733";"3.6500000954";"0.3899999857";\N;\N;\N
"44";"808";"8097";"2004-07-13";"10:59:00";"6.9099998474";"5.3600001335";"0.3899999857";\N;\N;\N
"45";"808";"8098";"2004-07-16";"11:40:00";"13.890000343";"4.1300001144";"0.3899999857";\N;\N;\N
"46";"808";"8099";"2004-07-14";"15:30:00";"7.5300002098";"5.2199997902";"0.3899999857";\N;\N;\N
"47";"808";"8100";"2004-07-13";"15:13:00";"14.18999958";"3.7200000286";"0.3899999857";\N;\N;\N
"48";"808";"8101";"2004-07-15";"15:44:00";"15.180000305";"3.7300000191";"0.3899999857";\N;\N;\N
"49";"808";"8102";"2004-07-15";"16:40:00";"17.329999924";"2.8299999237";"0.3899999857";\N;\N;\N
"50";"808";"8103";"2004-07-16";"09:30:00";"18.329999924";"2.3199999332";"0.3899999857";\N;\N;\N
"51";"808";"8104";"2004-07-14";"12:57:00";"13.010000229";"4.7300000191";"0.3899999857";\N;\N;\N
"52";"1008";"10047";"2004-07-18";\N;"15.300000191";"3.4000000954";"0.5199999809";\N;\N;\N
"53";"1008";"10049";"2004-07-19";\N;"7.3499999046";"4.5999999046";"0.4199999869";\N;\N;\N
"54";"1013";"10049";"2007-03-21";"16:20:00";\N;"1.2300000191";"0.7099999785";"1.9400000572";"5.9765601158";"7.916560173"
"55";"1001";"10059";"2003-11-25";"10:23:00";"26.290000916";"12.619999886";"0.25";\N;\N;\N
"56";"1001";"10060";"2003-11-26";"10:25:00";"23.020000458";"12.359999657";"0.7900000215";\N;\N;\N
"57";"1001";"10061";"2003-11-26";"18:00:00";"13.550000191";"8.3000001907";"0.4499999881";\N;\N;\N
"58";"1005";"10061";"2004-03-25";\N;"7.25";"1.2300000191";"0.9700000286";\N;\N;\N
"59";"1008";"10061";"2004-07-20";\N;"9.3800001144";"4.6100001335";"0.5199999809";\N;\N;\N
"60";"1011";"10061";"2006-11-28";"15:00:00";\N;"0.8700000048";"0.8000000119";"1.6699999571";"1.6499999762";"3.3199999332"
"61";"1001";"10062";"2003-11-27";"09:40:00";"19.770000458";"12.600000381";"1.0299999714";\N;\N;\N
"62";"1001";"10063";"2003-11-27";"10:08:00";"25.649999619";"11.329999924";"0.9700000286";\N;\N;\N
"63";"1001";"10064";"2003-11-27";"15:05:00";"18.219999313";"12.420000076";"0.5899999738";\N;\N;\N
"64";"1005";"10064";"2004-03-24";"14:25:00";"10.050000191";"1.6100000143";"0.7900000215";\N;\N;\N
"65";"1008";"10064";"2004-07-19";\N;"9.7700004578";"8.0900001526";"0.4799999893";\N;\N;\N
"66";"1005";"10065";"2004-03-25";"09:12:00";"9.6000003815";"1.1699999571";"0.3899999857";\N;\N;\N
"67";"1008";"10065";"2004-07-20";\N;"22.590000153";"3.4100000858";"0.3899999857";\N;\N;\N
"68";"1005";"10066";"2004-03-25";"11:20:00";"5.4400000572";"0.9800000191";"1.2300000191";\N;\N;\N
"69";"1008";"10066";"2004-07-22";\N;"5.1999998093";"4.25";"0.6499999762";\N;\N;\N
"70";"1005";"10067";"2004-03-25";"12:50:00";"3.6600000858";"0.5099999905";"0.4099999964";\N;\N;\N
"71";"1008";"10067";"2004-07-20";\N;"6.0700001717";"4.5900001526";"0.5600000024";\N;\N;\N
"72";"1005";"10068";"2004-03-24";\N;"19.850000381";"11.300000191";"10.149999619";\N;\N;\N
"73";"1008";"10068";"2004-07-20";\N;"15.369999886";"7.8899998665";"12.659999847";\N;\N;\N
"74";"1008";"10069";"2004-07-20";\N;"21.100000381";"6.2399997711";"17.909999847";\N;\N;\N
"75";"1008";"10069";"2004-07-21";\N;"19.850000381";"3.5699999332";"12.609999657";\N;\N;\N
"76";"1011";"10135";"2006-11-27";"14:30:00";\N;"1.6699999571";"1.4400000572";"3.1099998951";"3.5199999809";"6.6300001144"
"77";"1011";"10136";"2006-11-27";"17:55:00";\N;"4.8600001335";"2.9000000954";"7.7600002289";"2.7300000191";"10.489999771"
"78";"1011";"10137";"2006-11-28";"13:00:00";\N;"0.8000000119";"2";"2.7999999523";"0.3700000048";"3.1700000763"
"79";"1011";"10138";"2006-11-28";"16:30:00";\N;"0.7799999714";"0.8100000024";"1.5900000334";"0.4300000072";"2.0199999809"
"80";"1011";"10139";"2006-11-28";"16:06:00";\N;"4.2300000191";"2.0399999619";"6.2699999809";"9.4099998474";"15.680000305"
"81";"1011";"10140";"2006-11-29";"10:35:00";\N;"1.6399999857";"0.9100000262";"2.5499999523";"0.8100000024";"3.3599998951"
"82";"1011";"10141";"2006-11-29";"12:10:00";\N;"1.7200000286";"1.0900000334";"2.8099999428";"0.9300000072";"3.7400000095"
"83";"1011";"10142";"2006-11-29";"16:25:00";\N;"2.0099999905";"2.2000000477";"4.2100000381";"0.8000000119";"5.0100002289"
"84";"1011";"10143";"2006-11-29";"17:20:00";\N;"2.4700000286";"2.1800000668";"4.6500000954";"2.0099999905";"6.6599998474"
"85";"1013";"10152";"2007-03-19";"12:00:00";\N;"0.8299999833";"1.8700000048";"2.7000000477";"7.4463500977";"10.146400452"
"86";"1013";"10153";"2007-03-19";"15:30:00";\N;"1.7699999809";"3.9400000572";"5.7100000381";"7.8425297737";"13.552499771"
"87";"1015";"10153";"2007-07-16";"14:40:00";\N;"3.0799999237";"0.5299999714";"3.6099998951";"7.3899998665";"11"
"88";"1013";"10154";"2007-03-19";"16:30:00";\N;"0.5299999714";"1.1499999762";"1.6799999475";"4.9696598053";"6.6496601105"
"89";"1013";"10155";"2007-03-20";"10:30:00";\N;"0.9300000072";"1.5499999523";"2.4800000191";"8.378279686";"10.858300209"
"90";"1013";"10156";"2007-03-20";"13:00:00";\N;\N;"0.5400000215";"0.5400000215";"5.5686202049";"6.1086201668"
"91";"1013";"10157";"2007-03-20";"16:11:00";\N;"0.6899999976";"0.7900000215";"1.4800000191";"5.4226498604";"6.9026498795"
"92";"1013";"10158";"2007-03-22";"09:50:00";\N;\N;"1.2799999714";"1.2799999714";"4.9034500122";"6.183450222"
"93";"1015";"10158";"2007-07-18";"15:00:00";\N;"2.9400000572";"1.2899999619";"4.2300000191";"4.5399999619";"8.7700004578"
"94";"1013";"10159";"2007-03-22";"10:40:00";\N;"0.5500000119";"1.6100000143";"2.1600000858";"5.1099801064";"7.2699799538"
"95";"1015";"10159";"2007-07-18";"16:15:00";\N;"1.6299999952";"1.4400000572";"1.4400000572";"5.3499999046";"6.7899999619"
"96";"1013";"10160";"2007-03-21";"10:30:00";\N;\N;"1.3700000048";"1.3700000048";"3.6500000954";"5.0199999809"
"97";"1013";"10161";"2007-03-21";"14:55:00";\N;"0.9200000167";"0.6899999976";"1.6100000143";"5.2804899216";"6.8904900551"
"98";"1015";"10161";"2007-07-19";"10:30:00";\N;"2.7200000286";"0.7099999785";"0.7099999785";"4.3800001144";"5.0900001526"
"99";"1015";"10165";"2007-07-17";"11:00:00";\N;"1.9299999475";"0.6200000048";"2.5499999523";"9.7399997711";"12.289999962"
"100";"1015";"10171";"2007-07-17";"15:45:00";\N;"0.8399999738";"0.5699999928";"0.5699999928";"11.489999771";"12.06000042"
"101";"1015";"10189";"2007-07-16";"11:00:00";\N;"1.9700000286";"1.2100000381";"3.1800000668";"7.3000001907";"10.479999542"
"102";"1015";"10190";"2007-07-17";"10:40:00";\N;"0.5799999833";"0.8899999857";"1.4700000286";"8.6599998474";"10.130000114"
"103";"1015";"10191";"2007-07-17";"15:00:00";\N;"1.7699999809";"0.6600000262";"2.4300000668";"13.579999924";"16.010000229"
"104";"1015";"10192";"2007-07-19";"09:20:00";\N;"2.7200000286";"0.6100000143";"3.3299999237";"4.7699999809";"8.1000003815"
"105";"1207";"12016";"2005-08-29";"10:53:00";"0.3899999857";"6.9699997902";"0.3899999857";\N;\N;\N
"106";"1201";"12034";"2004-11-21";"14:35:00";"3.6199998856";"1.7899999619";"0.3899999857";\N;\N;\N
"107";"1201";"12035";"2004-11-21";"16:47:00";"2.8099999428";"1.3999999762";"0.3899999857";\N;\N;\N
"108";"1201";"12102";"2004-11-15";"17:30:00";"3.2999999523";"0.8399999738";"1.0800000429";\N;\N;\N
"109";"1201";"12103";"2004-11-21";"20:00:00";"2.9200000763";"1.4600000381";"0.5600000024";\N;\N;\N
"110";"1201";"12104";"2004-11-23";\N;"3.0499999523";"2.2999999523";"0.6600000262";\N;\N;\N
"111";"1201";"12105";"2004-11-23";\N;"2.7400000095";"1.8600000143";"0.3899999857";\N;\N;\N
"112";"1201";"12106";"2004-11-23";\N;"3.0499999523";"2.2999999523";"0.6600000262";\N;\N;\N
"113";"1201";"12107";"2004-11-25";"10:00:00";"2.5899999142";"1.7300000191";"1.2999999523";\N;\N;\N
"114";"1207";"12107";"2005-08-26";"11:38:00";"0.3899999857";"3.8499999046";"0.3899999857";\N;\N;\N
"115";"1201";"12108";"2004-11-25";"11:30:00";"3.1700000763";"1.5099999905";"1.6799999475";\N;\N;\N
"116";"1201";"12109";"2004-11-25";"16:30:00";"2.4300000668";"0.9800000191";"0.5199999809";\N;\N;\N
"117";"1201";"12110";"2004-11-25";"17:40:00";"1.9299999475";"1.2300000191";"0.4300000072";\N;\N;\N
"118";"1204";"12111";"2005-03-21";"10:30:00";"14.380000114";"14.199999809";"0.6399999857";\N;\N;\N
"119";"1204";"12112";"2005-03-17";"11:20:00";"5.25";"4.2399997711";"0.7300000191";\N;\N;\N
"120";"1204";"12113";"2005-03-21";"12:20:00";"2";"0.8000000119";"0.8600000143";\N;\N;\N
"121";"1207";"12113";"2005-08-28";"15:00:00";"0.3899999857";"2.2300000191";"0.3899999857";\N;\N;\N
"122";"1204";"12114";"2005-03-19";"14:15:00";"5.0500001907";"4.5";"0.5799999833";\N;\N;\N
"123";"1204";"12115";"2005-03-21";"10:30:00";"6.2300000191";"5.1799998283";\N;\N;\N;\N
"124";"1204";"12116";"2005-03-21";"16:00:00";"5.8000001907";"5.1900000572";"0.9200000167";\N;\N;\N
"125";"1204";"12117";"2005-03-19";"16:00:00";"5.6100001335";"4.6199998856";"0.7900000215";\N;\N;\N
"126";"1204";"12118";"2005-03-18";"16:15:00";"6.1599998474";"5.3600001335";"2.75";\N;\N;\N
"127";"1204";"12119";"2005-03-21";"11:30:00";"6.8600001335";"5.75";"0.7099999785";\N;\N;\N
"128";"1204";"12120";"2005-03-22";"15:25:00";"4.5799999237";"3.9900000095";"1.0800000429";\N;\N;\N
"129";"1204";"12121";"2005-03-21";"10:55:00";"4.9099998474";"4.3800001144";"1.3300000429";\N;\N;\N
"130";"1204";"12122";"2005-03-22";"15:38:00";"6.6100001335";"5.3299999237";"1.8700000048";\N;\N;\N
"131";"1207";"12123";"2005-08-25";"12:45:00";"0.3899999857";"3.4000000954";"0.3899999857";\N;\N;\N
"132";"1207";"12124";"2005-08-25";"17:20:00";"0.3100000024";"4.7300000191";"0.3100000024";\N;\N;\N
"133";"1207";"12125";"2005-08-25";"15:00:00";"0.3899999857";"4.2399997711";"0.3899999857";\N;\N;\N
"134";"1207";"12126";"2005-08-25";"16:00:00";"0.3899999857";"4.4899997711";"0.3899999857";\N;\N;\N
"135";"1207";"12127";"2005-08-28";"11:05:00";"0.3899999857";"5.7399997711";"0.3899999857";\N;\N;\N
"136";"1207";"12128";"2005-08-28";"12:38:00";"0.6999999881";"3.5599999428";"0.6999999881";\N;\N;\N
"137";"1207";"12129";"2005-08-28";"13:35:00";"0.3899999857";"4.6399998665";"0.3899999857";\N;\N;\N
"138";"1207";"12130";"2005-08-28";"15:50:00";"0.6800000072";"4.25";"0.6800000072";\N;\N;\N
"139";"1207";"12131";"2005-08-29";"12:35:00";"3.2400000095";"7.9200000763";"3.2400000095";\N;\N;\N
"140";"1204";"12149";"2005-03-21";"15:00:00";"5.6900000572";"5.2899999619";"2.6700000763";\N;\N;\N
"141";"1301";"13033";"2004-11-17";\N;"5.5199999809";"2.1600000858";"2.5299999714";\N;\N;\N
"142";"1301";"13037";"2004-11-18";"14:10:00";"3.8800001144";"2.1099998951";"3";\N;\N;\N
"143";"1301";"13040";"2004-11-19";"10:15:00";"2.2400000095";"1.5800000429";"1.8899999857";\N;\N;\N
"144";"1201";"13044";"2004-11-21";"11:10:00";"2.9700000286";"1.9600000381";"0.7099999785";\N;\N;\N
"145";"1301";"13080";"2004-11-17";"17:17:00";"3.1600000858";"1.1399999857";"0.3899999857";\N;\N;\N
"146";"1309";"13080";"2005-08-23";"14:30:00";"0.3899999857";"1.9800000191";"0.3899999857";\N;\N;\N
"147";"1301";"13081";"2004-11-18";"11:55:00";"3.9400000572";"2.2000000477";"5.9699997902";\N;\N;\N
"148";"1301";"13082";"2004-11-19";"10:00:00";"1.0700000525";"0.6700000167";"0.6600000262";\N;\N;\N
"149";"1301";"13083";"2004-11-19";"11:40:00";"2.1199998856";"1.3999999762";"0.6999999881";\N;\N;\N
"150";"1305";"13084";"2005-03-15";"15:05:00";"6.0700001717";"4.9899997711";"1.1399999857";\N;\N;\N
"151";"1305";"13085";"2005-03-16";"14:45:00";"14.210000038";"13.319999695";"0.5";\N;\N;\N
"152";"1309";"13085";"2005-08-23";"16:00:00";"0.3899999857";"4.3499999046";"0.3899999857";\N;\N;\N
"153";"1305";"13086";"2005-03-15";"14:05:00";"6.4000000954";"6.0599999428";"10.119999886";\N;\N;\N
"154";"1305";"13087";"2005-03-15";"16:26:00";"5.0100002289";"4.3099999428";"2.0899999142";\N;\N;\N
"155";"1305";"13088";"2005-03-15";"13:10:00";"2.9500000477";"2.7899999619";\N;\N;\N;\N
"156";"1305";"13089";"2005-03-14";"15:00:00";"3.8699998856";"3.4700000286";"1.1399999857";\N;\N;\N
"157";"1305";"13090";"2005-03-15";"16:20:00";"8.4799995422";"8.0699996948";"2.1900000572";\N;\N;\N
"158";"1305";"13091";"2005-03-16";"15:50:00";"24.809999466";"24.200000763";"5.1199998856";\N;\N;\N
"159";"1309";"13092";"2005-08-21";"16:48:00";"2.7999999523";"8.6599998474";"2.7999999523";\N;\N;\N
"160";"1309";"13093";"2005-08-22";"11:30:00";"3.1600000858";"3.5499999523";"3.1600000858";\N;\N;\N
"161";"1309";"13094";"2005-08-23";"09:30:00";"22.020000458";"7.0100002289";"22.020000458";\N;\N;\N
"162";"1309";"13095";"2005-08-23";"10:30:00";"1.0299999714";"4.6599998474";"1.0299999714";\N;\N;\N
"163";"1309";"13096";"2005-08-23";"11:30:00";"0.3899999857";"2.5";"0.3899999857";\N;\N;\N
"164";"1401";"14020";"2005-11-14";"13:05:00";\N;"14.600000381";"0.3899999857";"14.600000381";"1.1499999762";"15.75"
"165";"1401";"14021";"2005-11-14";\N;\N;"1.0199999809";"0.3899999857";"1.0199999809";"1.0700000525";"2.0899999142"
"166";"1401";"14022";"2005-11-14";\N;\N;"1.1799999475";"0.7300000191";"1.9099999666";"0.3600000143";"2.2699999809"
"167";"1401";"14023";"2005-11-14";\N;\N;"2.5599999428";"0.5400000215";"3.0999999046";"0.1700000018";"3.2699999809"
"168";"1401";"14024";"2005-11-14";\N;\N;"1.1900000572";"1.1699999571";"2.3599998951";"0.1899999976";"2.5499999523"
"169";"1401";"14025";"2005-11-14";\N;\N;"0.9800000191";"0.4199999869";"1.3999999762";"0.0299999993";"1.4299999475"
